일시,실효습도
20180916,52.611408000000004
20180917,57.504969
20180918,59.243064000000004
20180919,60.218492999999995
20180920,59.39026200000001
20180921,55.19483400000001
20180922,55.780089
20180923,57.86765700000001
20180924,60.818559
20180925,55.026810000000005
20180926,45.288537
20180927,41.42653800000001
20180928,40.69428299999999
20180929,41.432355
20180930,42.399224999999994
20181001,44.01060300000001
20181002,46.894932000000004
20181003,46.270500000000006
20181004,46.384695
20181005,49.82157300000001
20181006,53.60991
20181007,54.124905
20181008,55.84956
20181009,59.35237500000001
20181010,53.14008
20181011,43.58793000000001
20181012,43.22952
20181013,45.50322
20181014,46.82640000000001
20181015,45.786896999999996
20181016,47.579187000000005
20181017,48.666609
20181018,50.666655
20181019,50.577879
20181020,46.179387
20181021,45.578895
20181022,45.87135
20181023,45.43995300000001
20181024,46.39677
20181025,47.178765
20181026,51.521373
20181027,55.746078000000004
20181028,53.005053000000004
20181029,51.563109000000004
20181030,53.571009000000004
20181031,48.763332
20181101,52.251161999999994
20181102,45.556107
20181103,44.556689999999996
20181104,45.628350000000005
20181105,46.15846500000001
20181106,48.133065
20181107,50.95933500000001
20181108,55.555464
20181109,60.76359000000001
20181110,63.71097300000001
20181111,65.670618
20181112,63.51090900000001
20181113,54.246618
20181114,51.921405
20181115,48.54961199999999
20181116,45.074313
20181117,45.636714000000005
20181118,46.596084000000005
20181119,46.41043200000001
20181120,45.431757000000005
20181121,41.115423
20181122,39.48594000000001
20181123,37.626288
20181124,37.27317300000001
20181125,41.751324000000004
20181126,40.222623
20181127,47.14284
20181128,56.613213
20181129,53.38663199999999
20181130,46.24434300000001
20181201,39.067359
20181202,31.562073
20181203,39.769812
20181204,44.466207
20181205,46.611195
20181206,52.096365
20181207,55.624263000000006
20181208,44.67840300000002
20181209,33.6711
20181210,33.571599
20181211,29.543514000000002
20181212,29.11419
20181213,29.826221999999998
20181214,34.22838900000001
20181215,37.997274
20181216,39.677334
20181217,44.296623000000004
20181218,42.736179
20181219,45.912372000000005
20181220,48.809325
20181221,45.27315299999999
20181222,42.44105700000001
20181223,39.59880000000001
20181224,36.269877
20181225,36.160512
20181226,37.410984000000006
20181227,34.525569000000004
20181228,33.27066
20181229,34.232670000000006
20181230,28.603977000000008
20181231,26.229498000000003
20190101,28.907625
20190102,30.236634000000002
20190103,33.561384
20190104,36.556785
20190105,38.155359000000004
20190106,35.81442
20190107,36.162791999999996
20190108,37.26549
20190109,31.525164000000004
20190110,31.279584000000003
20190111,33.920484
20190112,32.000747999999994
20190113,36.340869
20190114,44.513928
20190115,46.912404
20190116,45.123897
20190117,47.361684
20190118,47.55744
20190119,42.846593999999996
20190120,38.78257500000001
20190121,39.895584
20190122,41.83098
20190123,44.42366700000001
20190124,40.347657000000005
20190125,43.127538
20190126,39.065067
20190127,33.017385000000004
20190128,29.120562
20190129,29.200725000000002
20190130,33.819588
20190131,37.159710000000004
20190201,34.013928
20190202,35.598839999999996
20190203,42.332787
20190204,39.98542200000001
20190205,47.365773000000004
20190206,51.219837000000005
20190207,50.73427500000002
20190208,34.932195
20190209,34.749750000000006
20190210,35.997039
20190211,30.409617000000004
20190212,26.499375000000004
20190213,26.272248000000005
20190214,26.424969000000004
20190215,29.579454
20190216,31.548990000000003
20190217,33.269922
20190218,39.261765
20190219,51.49397400000001
20190220,47.24645400000001
20190221,46.487801999999995
20190222,50.137743
20190223,55.93572
20190224,48.52095
20190225,44.27777400000001
20190226,40.159404
20190227,35.58225900000001
20190228,36.105555
20190301,35.340519
20190302,29.280498
20190303,30.394032
20190304,33.326342999999994
20190305,35.456079
20190306,36.48462000000001
20190307,39.687332999999995
20190308,43.934172
20190309,45.296514
20190310,38.196612
20190311,35.38899000000001
20190312,32.624553
20190313,32.493945000000004
20190314,36.054309
20190315,45.435654
20190316,43.800117
20190317,42.947772
20190318,48.008874
20190319,52.91537999999999
20190320,50.083769999999994
20190321,47.16622200000001
20190322,46.583487
20190323,51.154616999999995
20190324,54.062472000000014
20190325,47.415842999999995
20190326,38.246223
20190327,41.891682
20190328,43.339557
20190329,44.840703000000005
20190330,45.20145
20190331,45.986880000000006
20190401,40.105194000000004
20190402,38.565327
20190403,43.507892999999996
20190404,34.39428
20190405,32.37363
20190406,32.064897
20190407,33.097203
20190408,33.654258000000006
20190409,33.185613000000004
