현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,lon,lat,실효습도,가스사용량(KWh),전기사용량(KWh),화재발생시각,인명피해확률,회귀예측,지수,등급,인덱스
2,-9.4,3.3,2000,126.9985272,37.4951853,32.908029,248.0833333,248.0833333,새벽,15.04605197,76.61254957,33.95167746,2등급,149
1,-10.4,0.7,2000,127.0952071,37.5972619,32.908029,1495.833333,1495.833333,새벽,14.86086542,76.24124215,33.66022636,2등급,150
2,-10.4,0.7,2000,126.8345337,37.5336661,32.908029,4439.416667,4439.416667,새벽,12.7660711,78.27107268,31.61034765,2등급,151
2,-10.4,0.7,2000,126.8923926,37.5045064,32.908029,9206.333333,9206.333333,새벽,12.52344942,78.41410251,31.33711931,2등급,152
1,-11.2,1.4,2000,127.0219064,37.605387,32.908029,2481.363636,2481.363636,주간,9.682524193,77.10887274,27.32413815,2등급,153
1,-4.6,4.1,1969,126.8559159,37.556867,32.908029,71799.16667,71799.16667,주간,8.745146506,75.94048109,25.77034406,2등급,154
3,-4.6,4.1,1969,127.0183602,37.6332205,32.908029,11711.58333,11711.58333,주간,8.378639987,78.02059057,25.56768351,2등급,155
3,-3.4,3.8,1961,126.8799924,37.4854117,32.908029,12773.75,12773.75,주간,8.241322781,77.84091612,25.32808945,2등급,156
3,-1.8,3,2000,126.8398747,37.5337649,32.908029,11918.25,11918.25,주간,8.209737898,77.4665832,25.21865072,2등급,157
2,-1.1,2.3,2000,127.0616065,37.6519884,32.908029,5918.583333,5918.583333,주간,9.424983798,75.44159537,26.66525481,2등급,158
1,-3.4,1.5,2000,127.0625901,37.5413888,32.908029,18158.33333,18158.33333,저녁,7.728190297,71.47025097,23.50182333,2등급,159
3,-3.4,1.5,2000,127.1405032,37.5039891,32.908029,3747.25,3747.25,저녁,6.089368145,74.92086944,21.3593248,2등급,160
0,-4,2.1,2000,127.0309159,37.6191679,32.908029,2475.916667,2475.916667,저녁,9.834641823,68.97544761,26.04513048,2등급,161
1,-4.2,1.8,2000,127.0337047,37.5198624,32.908029,8292.916667,8292.916667,저녁,8.139937761,71.29594986,24.09034235,2등급,162
2,-5.3,3.3,2000,126.9232511,37.6435463,32.908029,38954.91667,38954.91667,밤,79.25320879,13.21679726,32.36469671,2등급,163
2,-5.3,3.3,2000,127.0203771,37.5935336,32.908029,5499,5499,밤,85.10095352,12.21296303,32.23871584,2등급,164
2,-6,2.2,1996,127.0752081,37.493003,34.119798,75891.08333,75891.08333,새벽,10.54977652,78.45419094,28.76932709,2등급,165
2,-6,2.2,1996,126.8680593,37.5507249,34.119798,286364.9167,286364.9167,새벽,4.296928746,84.76939197,19.08528326,3등급,166
0,-6,2.2,1996,126.9699404,37.58374,34.119798,2780,2780,새벽,18.65520406,72.37749745,36.7452988,1등급,167
1,-7.8,0.9,1987,126.9048845,37.4883094,34.119798,693,693,새벽,15.02930198,75.49248813,33.68381512,2등급,168
1,-8.7,0.6,2000,126.9144293,37.5796748,34.119798,7999.166667,7999.166667,주간,9.091129291,76.98043935,26.45447272,2등급,169
1,-8.9,1,1989,126.9537777,37.4832952,34.119798,6384.75,6384.75,주간,9.280475435,76.8674654,26.70892406,2등급,170
2,-8.2,1.7,1826,126.9373041,37.4687455,34.119798,8131.916667,8131.916667,주간,7.50797947,79.13603593,24.37522786,2등급,171
0,-5.2,1.8,1824,126.9379106,37.486099,34.119798,2953.25,2953.25,주간,10.58518283,74.08289252,28.00323127,2등급,172
3,-2,2.4,1884,127.019075,37.5129501,34.119798,14736.08333,14736.08333,주간,7.155028529,78.63407749,23.71980328,2등급,173
3,-2,2.4,1884,127.1043619,37.5472641,34.119798,1751,1751,주간,7.55968377,78.24446416,24.32084303,2등급,174
1,0.7,1.7,1799,127.0494424,37.5257786,34.119798,7616,7616,주간,9.227074336,74.41331408,26.20338109,2등급,175
1,3,0.9,1999,127.0398177,37.5867768,34.119798,915.4545455,915.4545455,주간,10.46567678,72.81763885,27.60590285,2등급,176
5,3,0.9,1999,127.1329864,37.5543771,34.119798,2164.416667,2164.416667,주간,5.7540452,80.62115052,21.53828554,2등급,177
1,3,1.7,2000,127.1477497,37.4954443,34.119798,237000.8333,237000.8333,주간,3.990135066,79.52496609,17.81334769,3등급,178
2,0,2.1,2000,126.839956,37.5349015,34.119798,691.5,691.5,저녁,7.512044969,71.65042527,23.20002622,2등급,179
4,-1.2,1.4,1905,126.9702235,37.470393,34.119798,3076.583333,3076.583333,저녁,4.908243681,76.80372116,19.4157508,3등급,180
1,-2.2,2,1911,127.0862175,37.5381739,34.119798,7131.833333,7131.833333,저녁,7.824428077,71.11811573,23.58937434,2등급,181
1,-4,0.2,1900,126.9900639,37.5727225,34.119798,3891.083333,3891.083333,밤,81.37057076,11.89584513,31.1122437,2등급,182
0,-5,1.3,1779,126.9001397,37.5190045,33.627738,17982.5,17982.5,새벽,14.97529905,73.96622602,33.28162187,2등급,183
5,-5,1.3,1779,127.1213865,37.5371369,33.627738,1510.5,1510.5,새벽,7.809208441,83.17953506,25.48659113,2등급,184
2,-5,1.3,1779,127.1438027,37.4898814,33.627738,54936.83333,54936.83333,새벽,9.704847875,78.95804763,27.68168782,2등급,185
1,-5.2,0.7,1815,127.0755936,37.5718927,33.627738,2487,2487,새벽,13.68230335,75.60364813,32.1625877,2등급,186
2,-6.3,0.9,1647,126.8425352,37.5649303,33.627738,86857.5,86857.5,새벽,7.560764877,81.19583111,24.77705769,2등급,187
3,-3.9,1,1445,126.9548799,37.505423,33.627738,17373.83333,17373.83333,주간,4.856866027,82.15115871,19.97491356,3등급,188
1,0,1.4,1377,127.0217353,37.5515433,33.627738,1354.166667,1354.166667,주간,7.140140228,76.67514978,23.39810508,2등급,189
1,2.2,2.3,1772,126.9687702,37.5314811,33.627738,17885.25,17885.25,주간,9.161523578,74.02989728,26.04278498,2등급,190
